"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"ALVARÃES";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"ITAPIRANGA";"R$ 5.000,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"BOA VISTA DO RAMOS";"R$ 5.010,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"NOVO AIRÃO";"R$ 5.098,75";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"BERURI";"R$ 5.125,75";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"ITAPIRANGA";"R$ 5.145,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"FONTE BOA";"R$ 5.185,50";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"ENVIRA";"R$ 5.187,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"ATALAIA DO NORTE";"R$ 5.217,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"NHAMUNDÁ";"R$ 5.427,50";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"ANORI";"R$ 5.484,25";
"Legais, Voluntárias e Específicas";"21CE - IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE";"Sem informação";"Fundo Público";"AM";"ITAPIRANGA";"R$ 5.600,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"PRESIDENTE FIGUEIREDO";"R$ 5.670,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"APUÍ";"R$ 5.684,75";
"Legais, Voluntárias e Específicas";"20JT - GESTAO DO SISTEMA NACIONAL DE EMPREGO - SINE";"Sem informação";"Sem Informação";"AM";"MANAUS";"R$ 5.915,10";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"SANTO ANTÔNIO DO IÇÁ";"R$ 5.922,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"URUCURITUBA";"R$ 6.024,50";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"ALVARÃES";"R$ 6.039,34";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"BOCA DO ACRE";"R$ 6.045,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"JAPURÁ";"R$ 6.248,10";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"NOVO ARIPUANÃ";"R$ 6.610,75";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"SANTA ISABEL DO RIO NEGRO";"R$ 6.641,50";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"BARCELOS";"R$ 6.969,25";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"CARAUARI";"R$ 7.179,75";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"ITAPIRANGA";"R$ 7.260,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"MANICORÉ";"R$ 7.350,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"CODAJÁS";"R$ 7.422,75";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"NOVO ARIPUANÃ";"R$ 7.620,00";
"Legais, Voluntárias e Específicas";"20AL - APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE";"Vigilância em Saúde";"Fundo Público";"AM";"SILVES";"R$ 7.652,05";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"MANACAPURU";"R$ 7.770,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"IPIXUNA";"R$ 7.793,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"CAREIRO DA VÁRZEA";"R$ 7.864,75";
"Legais, Voluntárias e Específicas";"2589 - AVALIACAO E OPERACIONALIZACAO DO BENEFICIO DE PRESTACAO CONTINUADA (BPC) E MANUTENCAO DA RENDA MENSAL VITALICIA (RMV)";"BPC";"Fundo Público";"AM";"MANAUS";"R$ 8.080,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"BARREIRINHA";"R$ 8.229,75";
"Legais, Voluntárias e Específicas";"20AL - APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE";"Vigilância em Saúde";"Fundo Público";"AM";"CAAPIRANGA";"R$ 8.324,15";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"MARAÃ";"R$ 8.370,00";
"Legais, Voluntárias e Específicas";"21CE - IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE";"Sem informação";"Fundo Público";"AM";"MAUÉS";"R$ 8.400,00";
"Legais, Voluntárias e Específicas";"21CE - IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE";"Sem informação";"Fundo Público";"AM";"BARREIRINHA";"R$ 8.400,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"SÃO GABRIEL DA CACHOEIRA";"R$ 8.452,50";
"Legais, Voluntárias e Específicas";"20AL - APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE";"Vigilância em Saúde";"Fundo Público";"AM";"AMATURÁ";"R$ 8.487,84";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"MANAQUIRI";"R$ 8.495,25";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"MANAQUIRI";"R$ 8.662,50";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"RIO PRETO DA EVA";"R$ 8.714,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"BOCA DO ACRE";"R$ 8.739,50";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"EIRUNEPÉ";"R$ 9.030,25";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"PAUINI";"R$ 9.059,13";
"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"AM";"ITAMARATI";"R$ 9.160,68";
"Legais, Voluntárias e Específicas";"20AL - APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE";"Vigilância em Saúde";"Fundo Público";"AM";"ANAMÃ";"R$ 9.182,14";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"SÃO SEBASTIÃO DO UATUMÃ";"R$ 9.250,00";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"ITAMARATI";"R$ 9.403,58";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"PRESIDENTE FIGUEIREDO";"R$ 9.523,75";
"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"AM";"AMATURÁ";"R$ 9.558,48";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"NOVA OLINDA DO NORTE";"R$ 9.666,25";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"CAREIRO";"R$ 9.705,00";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"APUÍ";"R$ 9.756,38";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"RIO PRETO DA EVA";"R$ 9.975,00";
"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"AM";"CANUTAMA";"R$ 10.052,68";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"SÃO PAULO DE OLIVENÇA";"R$ 10.209,25";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"AUTAZES";"R$ 10.251,25";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"CAREIRO DA VÁRZEA";"R$ 10.290,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"BORBA";"R$ 10.582,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"AMATURÁ";"R$ 10.680,00";
"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"AM";"TONANTINS";"R$ 10.713,68";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"IPIXUNA";"R$ 10.740,00";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"BOCA DO ACRE";"R$ 10.878,93";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"LÁBREA";"R$ 10.878,93";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"SANTO ANTÔNIO DO IÇÁ";"R$ 10.878,93";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"HUMAITÁ";"R$ 10.878,93";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"BENJAMIN CONSTANT";"R$ 10.878,93";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Administração Pública Municipal";"AM";"SÃO PAULO DE OLIVENÇA";"R$ 10.878,93";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"AUTAZES";"R$ 10.878,93";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"IRANDUBA";"R$ 10.878,93";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"CAREIRO DA VÁRZEA";"R$ 10.878,93";
